GENESIS-Tabelle: 61511-111r
Bauland: Gemeinden, Veräußerungsfälle, veräußerte Fläche,;;;;;;;;;;;;;;;;;
Kaufpreis, durchschnittliche Kaufwerte (EUR/qm),;;;;;;;;;;;;;;;;;
Baulandarten, Jahr (ab 2010);;;;;;;;;;;;;;;;;
Statistik der Kaufwerte für Bauland;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;
;;Veräußerungsfälle;;Veräußerungsfälle;;Veräußerte Fläche;;Veräußerte Fläche;;Verkaufspreis;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;
;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;
;;Anzahl;;Anzahl;;1000 qm;;1000 qm;;Tsd. EUR;;Tsd. EUR;;EUR/qm;;EUR/qm;
09189149;      Tacherting;14;e;10;e;28;e;17;e;1923;e;1485;e;67,49;e;87,23;e
09189150;      Taching a.See;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09189152;      Tittmoning, St;4;e;4;e;4;e;4;e;325;e;325;e;74,17;e;74,17;e
09189154;      Traunreut, St;11;e;9;e;40;e;10;e;4122;e;.;.;102,68;e;.;.
09189155;      Traunstein, GKSt;25;e;19;e;31;e;19;e;12520;e;11068;e;399,57;e;580,03;e
09189157;      Trostberg, St;14;e;7;e;29;e;10;e;2220;e;1207;e;75,93;e;118,02;e
09189159;      Übersee;6;e;5;e;7;e;6;e;2510;e;.;.;383,86;e;.;.
09189160;      Unterwössen;7;e;6;e;7;e;7;e;1829;e;.;.;265,21;e;.;.
09189161;      Vachendorf;5;e;3;e;2;e;1;e;79;e;.;.;44,94;e;.;.
09189162;      Waging a.See, M;4;e;2;e;3;e;1;e;476;e;.;.;176,53;e;.;.
09189165;      Wonneberg;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09189444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09190;    Weilheim-Schongau (Lkr);236;e;196;e;279;e;176;e;58856;e;51069;e;211,07;e;290,60;e
09190111;      Altenstadt;5;e;4;e;11;e;9;e;1674;e;.;.;148,81;e;.;.
09190113;      Antdorf;1;e;-;-;5;e;-;-;.;.;-;-;.;.;-;-
09190114;      Bernbeuren;6;e;5;e;5;e;3;e;263;e;.;.;53,44;e;.;.
09190115;      Bernried am Starnberger See;2;e;1;e;8;e;1;e;.;.;.;.;.;.;.;.
09190117;      Böbing;5;e;4;e;5;e;3;e;368;e;.;.;79,19;e;.;.
09190118;      Burggen;8;e;7;e;15;e;5;e;829;e;.;.;57,15;e;.;.
09190120;      Eberfing;2;e;2;e;4;e;4;e;.;.;.;.;.;.;.;.
09190121;      Eglfing;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09190126;      Habach;5;e;1;e;4;e;1;e;576;e;.;.;130,11;e;.;.
09190129;      Hohenfurch;7;e;5;e;12;e;4;e;799;e;.;.;65,90;e;.;.
09190130;      Hohenpeißenberg;6;e;6;e;3;e;3;e;667;e;667;e;220,30;e;220,30;e
09190131;      Huglfing;9;e;8;e;6;e;6;e;1226;e;.;.;201,59;e;.;.
09190132;      Iffeldorf;13;e;11;e;12;e;9;e;5021;e;.;.;407,09;e;.;.
09190133;      Ingenried;11;e;9;e;8;e;6;e;609;e;.;.;74,03;e;.;.
09190135;      Oberhausen;6;e;6;e;3;e;3;e;934;e;934;e;293,40;e;293,40;e
09190136;      Obersöchering;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09190138;      Pähl;7;e;3;e;23;e;2;e;3272;e;1513;e;142,71;e;606,82;e
09190139;      Peißenberg, M;9;e;9;e;13;e;13;e;2577;e;2577;e;200,29;e;200,29;e
09190140;      Peiting, M;16;e;12;e;19;e;11;e;3092;e;1817;e;165,50;e;169,59;e
09190141;      Penzberg, St;13;e;12;e;12;e;10;e;6490;e;.;.;535,31;e;.;.
09190142;      Polling;12;e;12;e;9;e;9;e;2770;e;2770;e;304,38;e;304,38;e
09190143;      Prem;4;e;3;e;3;e;2;e;95;e;.;.;28,44;e;.;.
09190144;      Raisting;3;e;3;e;3;e;3;e;985;e;985;e;341,60;e;341,60;e
09190145;      Rottenbuch;4;e;2;e;9;e;1;e;256;e;.;.;27,47;e;.;.
09190148;      Schongau, St;14;e;11;e;24;e;14;e;4615;e;4186;e;192,83;e;305,53;e
09190149;      Schwabbruck;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09190151;      Schwabsoien;7;e;5;e;6;e;3;e;385;e;.;.;68,07;e;.;.
09190152;      Seeshaupt;2;e;2;e;5;e;5;e;.;.;.;.;.;.;.;.
09190153;      Sindelsdorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09190154;      Steingaden;12;e;10;e;10;e;9;e;1099;e;.;.;113,44;e;.;.
09190157;      Weilheim i.OB, St;27;e;24;e;25;e;23;e;14260;e;13325;e;566,47;e;570,28;e
09190158;      Wessobrunn;5;e;5;e;4;e;4;e;317;e;317;e;81,61;e;81,61;e
09190159;      Wielenbach;8;e;8;e;6;e;6;e;1188;e;1188;e;195,65;e;195,65;e
09190160;      Wildsteig;6;e;5;e;6;e;5;e;328;e;.;.;53,89;e;.;.
092;  Niederbayern;3565;e;3129;e;4816;e;3211;e;409296;e;320733;e;84,98;e;99,87;e
09261;    Landshut (Krfr.St);64;e;57;e;76;e;52;e;31530;e;28735;e;415,44;e;550,38;e
09262;    Passau (Krfr.St);78;e;65;e;151;e;86;e;14311;e;12431;e;94,79;e;144,49;e
09263;    Straubing (Krfr.St);72;e;61;e;128;e;90;e;21813;e;18383;e;170,15;e;204,84;e
09271;    Deggendorf (Lkr);319;e;289;e;337;e;278;e;34059;e;31765;e;101,18;e;114,19;e
09271111;      Aholming;19;e;18;e;16;e;16;e;1266;e;.;.;77,59;e;.;.
09271113;      Auerbach;3;e;3;e;3;e;3;e;330;e;330;e;111,16;e;111,16;e
09271114;      Außernzell;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09271116;      Bernried;9;e;9;e;7;e;7;e;854;e;854;e;117,27;e;117,27;e
09271118;      Buchhofen;10;e;10;e;7;e;7;e;431;e;431;e;64,82;e;64,82;e
09271119;      Deggendorf, GKSt;40;e;32;e;62;e;45;e;10280;e;9473;e;164,61;e;208,67;e
09271122;      Grafling;7;e;7;e;6;e;6;e;491;e;491;e;85,64;e;85,64;e
09271123;      Grattersdorf;6;e;6;e;4;e;4;e;245;e;245;e;55,16;e;55,16;e
09271125;      Hengersberg, M;37;e;33;e;34;e;23;e;4558;e;4293;e;132,41;e;184,83;e
09271126;      Hunding;5;e;4;e;9;e;6;e;344;e;.;.;38,39;e;.;.
09271127;      Iggensbach;10;e;10;e;9;e;9;e;839;e;839;e;90,79;e;90,79;e
09271128;      Künzing;8;e;8;e;6;e;6;e;363;e;363;e;57,00;e;57,00;e
09271130;      Lalling;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09271132;      Metten, M;4;e;4;e;4;e;4;e;681;e;681;e;161,70;e;161,70;e
09271135;      Moos;3;e;3;e;3;e;3;e;193;e;193;e;59,89;e;59,89;e
09271138;      Niederalteich;4;e;4;e;4;e;4;e;516;e;516;e;145,28;e;145,28;e
09271139;      Oberpöring;6;e;6;e;4;e;4;e;216;e;216;e;53,70;e;53,70;e
09271140;      Offenberg;4;e;4;e;4;e;4;e;412;e;412;e;91,79;e;91,79;e
09271141;      Osterhofen, St;40;e;38;e;40;e;36;e;3317;e;.;.;82,94;e;.;.
09271143;      Otzing;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09271146;      Plattling, St;27;e;23;e;30;e;23;e;4016;e;3630;e;134,22;e;158,64;e
09271148;      Schaufling;10;e;9;e;7;e;7;e;326;e;.;.;44,15;e;.;.
09271149;      Schöllnach, M;29;e;24;e;27;e;26;e;1420;e;1417;e;53,04;e;55,09;e
09271151;      Stephansposching;12;e;11;e;10;e;10;e;1039;e;.;.;104,85;e;.;.
09271152;      Wallerfing;7;e;7;e;5;e;5;e;279;e;279;e;53,76;e;53,76;e
09271153;      Winzer, M;19;e;16;e;33;e;19;e;1642;e;1104;e;49,57;e;57,11;e
09272;    Freyung-Grafenau (Lkr);196;e;171;e;329;e;276;e;9662;e;8429;e;29,39;e;30,55;e
09272116;      Eppenschlag;2;e;2;e;2;e;2;e;.;.;.;.;.;.;.;.
09272118;      Freyung, St;18;e;16;e;16;e;14;e;694;e;.;.;44,46;e;.;.
09272119;      Fürsteneck;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09272120;      Grafenau, St;6;e;6;e;9;e;9;e;569;e;569;e;60,77;e;60,77;e
09272121;      Grainet;3;e;2;e;6;e;3;e;169;e;.;.;28,16;e;.;.
09272122;      Haidmühle;4;e;4;e;3;e;3;e;73;e;73;e;20,87;e;20,87;e
09272126;      Hinterschmiding;3;e;3;e;2;e;2;e;107;e;107;e;49,29;e;49,29;e
09272127;      Hohenau;4;e;4;e;5;e;5;e;192;e;192;e;36,58;e;36,58;e
09272128;      Innernzell;2;e;2;e;18;e;18;e;.;.;.;.;.;.;.;.
09272129;      Jandelsbrunn;8;e;8;e;8;e;8;e;264;e;264;e;34,18;e;34,18;e
09272134;      Mauth;5;e;5;e;6;e;6;e;162;e;162;e;29,08;e;29,08;e
09272136;      Neureichenau;6;e;6;e;7;e;7;e;215;e;215;e;32,29;e;32,29;e
09272138;      Perlesreut, M;8;e;5;e;7;e;4;e;161;e;120;e;23,24;e;30,67;e
09272139;      Philippsreut;2;e;2;e;3;e;3;e;.;.;.;.;.;.;.;.
09272140;      Ringelai;1;e;1;e;3;e;3;e;.;.;.;.;.;.;.;.
09272141;      Röhrnbach, M;10;e;7;e;19;e;10;e;632;e;352;e;33,29;e;36,94;e
09272142;      Saldenburg;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09272143;      Sankt Oswald-Riedlhütte;5;e;5;e;5;e;5;e;149;e;149;e;27,99;e;27,99;e
09272145;      Schöfweg;2;e;2;e;93;e;93;e;.;.;.;.;.;.;.;.
09272146;      Neuschönau;4;e;4;e;4;e;4;e;110;e;110;e;26,18;e;26,18;e
09272147;      Schönberg, M;24;e;19;e;29;e;20;e;572;e;513;e;19,88;e;25,36;e
09272149;      Spiegelau;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09272150;      Thurmansbang;6;e;5;e;9;e;5;e;175;e;.;.;18,49;e;.;.
09272151;      Waldkirchen, St;70;e;60;e;72;e;50;e;4376;e;3692;e;60,65;e;74,34;e
09272152;      Zenting;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09272444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09273;    Kelheim (Lkr);319;e;269;e;487;e;236;e;46813;e;34909;e;96,16;e;147,78;e
09273111;      Abensberg, St;29;e;20;e;45;e;24;e;7305;e;5054;e;161,87;e;210,86;e
09273113;      Aiglsbach;15;e;15;e;10;e;10;e;1262;e;1262;e;121,21;e;121,21;e
09273115;      Attenhofen;14;e;12;e;10;e;8;e;974;e;.;.;101,57;e;.;.
09273116;      Bad Abbach, M;22;e;20;e;21;e;18;e;5073;e;.;.;243,32;e;.;.
09273119;      Biburg;6;e;3;e;21;e;1;e;980;e;187;e;46,52;e;127,39;e
09273121;      Essing, M;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09273125;      Hausen;13;e;13;e;11;e;11;e;1204;e;1204;e;110,80;e;110,80;e
09273127;      Herrngiersdorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09273133;      Ihrlerstein;11;e;10;e;18;e;11;e;1319;e;.;.;73,91;e;.;.
09273137;      Kelheim, St;28;e;22;e;57;e;25;e;5489;e;3914;e;96,30;e;157,18;e
09273139;      Kirchdorf;4;e;4;e;3;e;3;e;204;e;204;e;76,40;e;76,40;e
09273141;      Langquaid, M;33;e;29;e;62;e;27;e;4512;e;3559;e;72,38;e;129,92;e
09273147;      Mainburg, St;8;e;6;e;26;e;8;e;1876;e;.;.;71,90;e;.;.
09273152;      Neustadt a.d.Donau, St;19;e;17;e;27;e;11;e;2797;e;.;.;103,30;e;.;.
09273159;      Painten, M;4;e;4;e;3;e;3;e;262;e;262;e;86,33;e;86,33;e
09273163;      Elsendorf;6;e;4;e;48;e;4;e;3099;e;.;.;64,23;e;.;.
09273164;      Riedenburg, St;31;e;27;e;26;e;20;e;2537;e;2292;e;95,99;e;114,60;e
09273165;      Rohr i.NB, M;21;e;14;e;43;e;10;e;2098;e;1250;e;48,48;e;120,44;e
09273166;      Saal a.d.Donau;5;e;5;e;5;e;5;e;575;e;575;e;118,63;e;118,63;e
09273172;      Siegenburg, M;31;e;29;e;33;e;23;e;3668;e;.;.;111,92;e;.;.
09273175;      Teugn;5;e;5;e;3;e;3;e;359;e;359;e;112,76;e;112,76;e
09273177;      Train;7;e;5;e;10;e;6;e;840;e;.;.;80,41;e;.;.
09273178;      Volkenschwand;5;e;3;e;3;e;2;e;.;.;.;.;.;.;.;.
09273181;      Wildenberg;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09273444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09274;    Landshut (Lkr);474;e;390;e;583;e;358;e;66714;e;50658;e;114,45;e;141,43;e
09274111;      Adlkofen;4;e;4;e;6;e;6;e;319;e;319;e;54,45;e;54,45;e
09274112;      Aham;6;e;1;e;13;e;2;e;738;e;.;.;57,69;e;.;.
09274113;      Altdorf, M;8;e;4;e;21;e;6;e;4164;e;1515;e;197,25;e;267,15;e
09274114;      Altfraunhofen;6;e;5;e;3;e;3;e;482;e;.;.;156,30;e;.;.
09274118;      Baierbach;5;e;5;e;3;e;3;e;380;e;380;e;109,87;e;109,87;e
09274119;      Bayerbach b.Ergoldsbach;1;e;1;e;2;e;2;e;.;.;.;.;.;.;.;.
09274120;      Bodenkirchen;17;e;16;e;35;e;34;e;1517;e;.;.;43,44;e;.;.
09274121;      Buch a.Erlbach;43;e;43;e;26;e;26;e;6443;e;6443;e;247,86;e;247,86;e
09274124;      Eching;26;e;16;e;40;e;12;e;5154;e;2035;e;128,65;e;175,62;e
09274126;      Ergolding, M;30;e;26;e;46;e;19;e;6740;e;5481;e;146,77;e;282,00;e
09274127;      Ergoldsbach, M;20;e;19;e;25;e;22;e;2704;e;.;.;110,10;e;.;.
09274128;      Essenbach, M;12;e;9;e;41;e;7;e;4437;e;1190;e;109,47;e;177,28;e
09274132;      Furth;30;e;29;e;22;e;21;e;3897;e;.;.;175,98;e;.;.
09274134;      Geisenhausen, M;16;e;4;e;27;e;6;e;2933;e;1580;e;107,32;e;265,73;e
09274135;      Gerzen;3;e;3;e;3;e;3;e;.;.;.;.;.;.;.;.
09274141;      Hohenthann;11;e;9;e;7;e;7;e;614;e;.;.;87,52;e;.;.
09274145;      Kröning;12;e;10;e;10;e;9;e;842;e;.;.;86,11;e;.;.
09274146;      Kumhausen;7;e;6;e;30;e;4;e;1461;e;.;.;47,97;e;.;.
09274153;      Neufahrn i.NB;11;e;7;e;15;e;7;e;688;e;462;e;47,28;e;68,32;e
09274154;      Neufraunhofen;3;e;3;e;2;e;2;e;221;e;221;e;89,90;e;89,90;e
09274156;      Niederaichbach;38;e;35;e;21;e;20;e;2537;e;2520;e;122,02;e;125,78;e
09274165;      Obersüßbach;3;e;3;e;2;e;2;e;184;e;184;e;89,30;e;89,30;e
09274172;      Pfeffenhausen, M;8;e;6;e;6;e;6;e;305;e;.;.;47,15;e;.;.
09274174;      Postau;3;e;1;e;7;e;4;e;372;e;.;.;50,28;e;.;.
09274176;      Rottenburg a.d.Laaber, St;37;e;27;e;37;e;22;e;2812;e;2385;e;76,59;e;107,81;e
09274179;      Schalkham;4;e;4;e;3;e;3;e;319;e;319;e;97,62;e;97,62;e
09274182;      Tiefenbach;7;e;5;e;8;e;5;e;1539;e;.;.;200,18;e;.;.
09274183;      Velden, M;23;e;19;e;18;e;16;e;1892;e;1869;e;107,64;e;119,24;e
09274184;      Vilsbiburg, St;27;e;25;e;27;e;23;e;4826;e;.;.;179,74;e;.;.
09274185;      Vilsheim;15;e;12;e;10;e;6;e;1694;e;1540;e;172,28;e;239,79;e
09274187;      Weihmichl;7;e;7;e;5;e;5;e;755;e;755;e;154,66;e;154,66;e
09274188;      Weng;1;e;1;e;4;e;4;e;.;.;.;.;.;.;.;.
09274191;      Wörth a.d.Isar;15;e;11;e;35;e;29;e;2421;e;1991;e;68,98;e;68,75;e
09274193;      Wurmsham;6;e;6;e;7;e;7;e;350;e;350;e;47,64;e;47,64;e
09274194;      Bruckberg;9;e;8;e;17;e;7;e;2328;e;.;.;139,14;e;.;.
09275;    Passau (Lkr);563;e;504;e;737;e;540;e;44431;e;37686;e;60,31;e;69,75;e
09275111;      Aicha vorm Wald;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09275112;      Aidenbach, M;14;e;14;e;15;e;15;e;781;e;781;e;53,31;e;53,31;e
09275114;      Aldersbach;23;e;23;e;21;e;21;e;1125;e;1125;e;54,00;e;54,00;e
09275116;      Bad Füssing;19;e;17;e;17;e;17;e;927;e;.;.;54,95;e;.;.
09275117;      Beutelsbach;9;e;9;e;12;e;12;e;449;e;449;e;38,56;e;38,56;e
09275118;      Breitenberg;4;e;3;e;5;e;3;e;124;e;.;.;26,06;e;.;.
09275119;      Büchlberg;12;e;12;e;10;e;10;e;524;e;524;e;51,64;e;51,64;e
09275120;      Eging a.See, M;15;e;15;e;13;e;13;e;812;e;812;e;62,31;e;62,31;e
09275121;      Fürstenstein;6;e;5;e;6;e;6;e;253;e;.;.;40,30;e;.;.
09275122;      Fürstenzell, M;23;e;21;e;33;e;32;e;2760;e;.;.;83,86;e;.;.
09275124;      Bad Griesbach i.Rottal, St;10;e;7;e;8;e;8;e;464;e;457;e;54,84;e;60,19;e
09275125;      Haarbach;12;e;11;e;8;e;8;e;569;e;.;.;69,68;e;.;.
09275126;      Hauzenberg, St;23;e;22;e;25;e;24;e;1456;e;.;.;58,81;e;.;.
09275127;      Hofkirchen, M;23;e;15;e;36;e;13;e;1104;e;625;e;30,92;e;48,30;e
09275128;      Hutthurm, M;61;e;56;e;77;e;52;e;4864;e;4006;e;63,05;e;76,82;e
09275130;      Kirchham;12;e;11;e;11;e;11;e;692;e;.;.;61,89;e;.;.
09275131;      Kößlarn, M;7;e;7;e;13;e;13;e;580;e;580;e;43,43;e;43,43;e
09275132;      Malching;7;e;5;e;8;e;6;e;355;e;.;.;45,93;e;.;.
09275133;      Neuburg a.Inn;3;e;1;e;14;e;1;e;575;e;.;.;40,86;e;.;.
09275134;      Neuhaus a.Inn;5;e;4;e;5;e;5;e;375;e;.;.;72,44;e;.;.
09275135;      Neukirchen vorm Wald;18;e;15;e;34;e;14;e;2275;e;1310;e;67,14;e;94,04;e
09275137;      Obernzell, M;4;e;4;e;5;e;5;e;246;e;246;e;53,43;e;53,43;e
09275138;      Ortenburg, M;33;e;32;e;42;e;36;e;2739;e;.;.;65,97;e;.;.
09275141;      Pocking, St;35;e;34;e;47;e;45;e;5184;e;.;.;110,46;e;.;.
09275143;      Rotthalmünster, M;9;e;9;e;7;e;7;e;768;e;768;e;109,73;e;109,73;e
09275144;      Ruderting;2;e;1;e;4;e;1;e;.;.;.;.;.;.;.;.
09275145;      Ruhstorf a.d.Rott, M;22;e;15;e;37;e;14;e;1866;e;997;e;50,09;e;69,53;e
09275146;      Salzweg;9;e;8;e;17;e;9;e;574;e;.;.;34,25;e;.;.
09275148;      Sonnen;9;e;8;e;9;e;8;e;250;e;.;.;26,73;e;.;.
09275149;      Tettenweis;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09275150;      Thyrnau;13;e;12;e;20;e;17;e;1729;e;.;.;85,43;e;.;.
09275151;      Tiefenbach;16;e;16;e;22;e;22;e;1345;e;1345;e;61,63;e;61,63;e
09275152;      Tittling, M;14;e;11;e;25;e;16;e;1220;e;765;e;49,23;e;46,78;e
09275153;      Untergriesbach, M;16;e;14;e;14;e;13;e;962;e;.;.;67,11;e;.;.
09275154;      Vilshofen an der Donau, St;40;e;34;e;82;e;35;e;4616;e;2794;e;56,61;e;80,17;e
09275156;      Wegscheid, M;10;e;9;e;9;e;6;e;318;e;.;.;36,82;e;.;.
09275159;      Windorf, M;19;e;19;e;17;e;17;e;1046;e;1046;e;61,03;e;61,03;e
09275160;      Witzmannsberg;4;e;3;e;8;e;6;e;316;e;.;.;37,59;e;.;.
09276;    Regen (Lkr);196;e;175;e;290;e;213;e;13001;e;10886;e;44,88;e;51,06;e
09276111;      Achslach;5;e;5;e;5;e;5;e;294;e;294;e;58,93;e;58,93;e
09276113;      Arnbruck;7;e;7;e;5;e;5;e;280;e;280;e;57,85;e;57,85;e
09276115;      Bayerisch Eisenstein;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09276116;      Bischofsmais;8;e;6;e;10;e;6;e;465;e;.;.;45,55;e;.;.
09276117;      Bodenmais, M;15;e;15;e;16;e;16;e;1109;e;1109;e;70,09;e;70,09;e
09276118;      Böbrach;2;e;1;e;6;e;2;e;.;.;.;.;.;.;.;.
09276120;      Drachselsried;9;e;8;e;22;e;7;e;547;e;.;.;24,39;e;.;.
09276121;      Frauenau;8;e;8;e;25;e;25;e;599;e;599;e;24,25;e;24,25;e
09276122;      Geiersthal;5;e;4;e;3;e;3;e;149;e;.;.;45,95;e;.;.
09276123;      Gotteszell;3;e;3;e;3;e;3;e;64;e;64;e;20,59;e;20,59;e
09276126;      Kirchberg i.Wald;21;e;19;e;28;e;22;e;939;e;.;.;33,77;e;.;.
09276127;      Kirchdorf i.Wald;6;e;5;e;5;e;5;e;237;e;.;.;44,84;e;.;.
09276128;      Kollnburg;3;e;2;e;6;e;3;e;366;e;.;.;60,93;e;.;.
09276129;      Langdorf;2;e;2;e;2;e;2;e;.;.;.;.;.;.;.;.
09276130;      Lindberg;5;e;5;e;5;e;5;e;293;e;293;e;57,18;e;57,18;e
09276134;      Patersdorf;3;e;3;e;4;e;4;e;244;e;244;e;62,80;e;62,80;e
09276135;      Prackenbach;6;e;6;e;8;e;8;e;255;e;255;e;33,09;e;33,09;e
09276138;      Regen, St;28;e;25;e;33;e;21;e;1805;e;1581;e;55,28;e;74,35;e
09276139;      Rinchnach;8;e;8;e;10;e;10;e;356;e;356;e;36,27;e;36,27;e
09276142;      Ruhmannsfelden, M;4;e;3;e;8;e;3;e;501;e;.;.;66,64;e;.;.
09276143;      Teisnach, M;13;e;8;e;37;e;21;e;1753;e;774;e;46,79;e;36,18;e
09276144;      Viechtach, St;16;e;15;e;25;e;25;e;1464;e;.;.;57,79;e;.;.
09276146;      Zachenberg;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09276148;      Zwiesel, St;18;e;16;e;23;e;12;e;1019;e;.;.;43,75;e;.;.
09277;    Rottal-Inn (Lkr);336;e;297;e;458;e;345;e;24282;e;21065;e;53,00;e;61,07;e
09277111;      Arnstorf, M;15;e;14;e;12;e;11;e;860;e;.;.;74,13;e;.;.
09277112;      Bayerbach;4;e;4;e;8;e;8;e;130;e;130;e;16,07;e;16,07;e
09277113;      Bad Birnbach, M;30;e;29;e;31;e;29;e;2625;e;.;.;85,87;e;.;.
09277114;      Dietersburg;18;e;10;e;28;e;7;e;514;e;222;e;18,44;e;31,73;e
09277116;      Eggenfelden, St;42;e;39;e;53;e;38;e;4467;e;3930;e;84,14;e;104,12;e
09277117;      Egglham;4;e;4;e;2;e;2;e;97;e;97;e;45,08;e;45,08;e
09277118;      Ering;7;e;7;e;6;e;6;e;302;e;302;e;54,59;e;54,59;e
09277119;      Falkenberg;25;e;23;e;33;e;17;e;1239;e;.;.;37,82;e;.;.
09277121;      Gangkofen, M;22;e;22;e;18;e;18;e;1047;e;1047;e;58,58;e;58,58;e
09277122;      Geratskirchen;3;e;1;e;21;e;20;e;.;.;.;.;.;.;.;.
09277124;      Hebertsfelden;14;e;9;e;19;e;12;e;609;e;498;e;31,60;e;39,94;e
09277126;      Johanniskirchen;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09277127;      Julbach;4;e;4;e;4;e;4;e;230;e;230;e;51,11;e;51,11;e
09277128;      Kirchdorf a.Inn;10;e;9;e;14;e;7;e;763;e;.;.;53,03;e;.;.
09277131;      Malgersdorf;4;e;3;e;15;e;14;e;504;e;.;.;32,98;e;.;.
09277133;      Massing, M;8;e;6;e;43;e;40;e;1172;e;.;.;27,26;e;.;.
09277134;      Mitterskirchen;6;e;6;e;4;e;4;e;261;e;261;e;69,11;e;69,11;e
09277138;      Pfarrkirchen, St;13;e;11;e;17;e;14;e;1943;e;.;.;112,78;e;.;.
09277139;      Postmünster;9;e;7;e;10;e;5;e;824;e;.;.;79,95;e;.;.
09277140;      Reut;4;e;4;e;3;e;3;e;145;e;145;e;52,77;e;52,77;e
09277141;      Rimbach;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09277142;      Roßbach;5;e;5;e;5;e;5;e;193;e;193;e;40,51;e;40,51;e
09277144;      Schönau;11;e;11;e;9;e;9;e;469;e;469;e;52,33;e;52,33;e
09277145;      Simbach a.Inn, St;26;e;25;e;33;e;18;e;2542;e;.;.;78,05;e;.;.
09277147;      Stubenberg;3;e;3;e;2;e;2;e;101;e;101;e;44,47;e;44,47;e
09277148;      Tann, M;13;e;10;e;15;e;10;e;927;e;789;e;61,51;e;75,80;e
09277149;      Triftern, M;9;e;7;e;26;e;16;e;708;e;.;.;27,36;e;.;.
09277151;      Unterdietfurt;3;e;3;e;3;e;3;e;111;e;111;e;39,62;e;39,62;e
09277152;      Wittibreut;4;e;4;e;3;e;3;e;172;e;172;e;49,53;e;49,53;e
09277153;      Wurmannsquick, M;14;e;13;e;14;e;14;e;622;e;.;.;43,42;e;.;.
09277154;      Zeilarn;5;e;3;e;6;e;4;e;139;e;.;.;24,80;e;.;.
09278;    Straubing-Bogen (Lkr);492;e;450;e;536;e;378;e;43311;e;32972;e;80,78;e;87,19;e
09278112;      Aholfing;11;e;11;e;9;e;9;e;704;e;704;e;81,14;e;81,14;e
09278113;      Aiterhofen;16;e;12;e;73;e;9;e;7087;e;1115;e;96,74;e;119,27;e
09278116;      Ascha;6;e;6;e;5;e;5;e;460;e;460;e;90,95;e;90,95;e
09278117;      Atting;8;e;4;e;10;e;4;e;620;e;329;e;59,51;e;87,65;e
09278118;      Bogen, St;31;e;24;e;34;e;19;e;2498;e;1712;e;74,18;e;89,15;e
09278120;      Falkenfels;5;e;5;e;4;e;4;e;319;e;319;e;79,66;e;79,66;e
09278121;      Feldkirchen;4;e;4;e;3;e;3;e;342;e;342;e;123,96;e;123,96;e
09278123;      Geiselhöring, St;14;e;13;e;18;e;17;e;1146;e;.;.;64,53;e;.;.
09278129;      Haibach;3;e;3;e;2;e;2;e;125;e;125;e;76,15;e;76,15;e
09278134;      Haselbach;7;e;7;e;7;e;7;e;447;e;447;e;66,12;e;66,12;e
09278139;      Hunderdorf;13;e;11;e;21;e;9;e;1374;e;.;.;64,31;e;.;.
09278140;      Irlbach;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09278141;      Kirchroth;17;e;15;e;30;e;26;e;1403;e;.;.;46,33;e;.;.
09278143;      Konzell;6;e;6;e;6;e;6;e;283;e;283;e;46,33;e;46,33;e
09278144;      Laberweinting;21;e;20;e;19;e;16;e;1459;e;.;.;78,15;e;.;.
09278146;      Leiblfing;3;e;1;e;11;e;1;e;.;.;.;.;.;.;.;.
